"","nombre","categoryName","address","location.lat","location.lng","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","day"
"27","Mercado Conde de la Vega","Market","Jiron Acomayo, Av. Dos de Mayo 102, Cercado de Lima 15079, Peru",-12.03794,-77.0490996,NA,NA,NA,NA,NA,0,0,0,23,32,37,36,30,23,17,13,11,10,9,0,0,0,0,NA,"Mo"
"28","Mercado Corpac","Market","Av. Antunez de Mayolo, Distrito de Lima 15108, Peru",-12.0040721,-77.0942546,NA,NA,NA,NA,NA,0,0,0,45,75,86,68,44,35,40,40,27,0,0,0,0,0,0,NA,"Mo"
"29","Mercado De Las Praderas","Market","Yarquil 218, Cercado de Lima 15009, Peru",-12.0336931,-76.9626433,NA,NA,NA,NA,0,10,19,32,43,50,50,42,32,23,19,17,19,19,16,12,0,0,NA,NA,"Mo"
"30","Mercado De Surquillo","Farmers' market","Lizardo Montero 705, Surquillo 15047, PeruLocated in: Market No. 2 Surquillo",-12.1109983,-77.0241483,NA,NA,NA,NA,NA,0,0,0,32,55,71,71,59,44,34,27,0,0,0,0,0,0,0,NA,"Mo"
"31","Mercado El Bosque","Market","Av. Proceres de la Independencia 268, Cercado de Lima 15404, Peru",-12.0305244,-77.0128163,NA,NA,0,1,4,14,26,32,34,39,45,46,40,30,24,21,20,16,9,4,NA,NA,NA,NA,"Mo"
"32","Mercado Elio","Market","Reynaldo Saavedra Pinón 2674, Cercado de Lima 15081, Peru",-12.0545947,-77.0711829,NA,NA,NA,NA,NA,0,0,0,20,26,30,33,36,40,43,43,43,40,0,0,0,0,0,NA,"Mo"
"33","Mercado Familias Unidas","Market","Ramon Rodriguez Lima, San Juan de Miraflores 15801, Peru",-12.1604042,-76.9650063,NA,NA,NA,NA,NA,0,0,22,45,61,61,47,31,21,16,14,11,0,0,0,0,0,0,NA,"Mo"
"34","MERCADO FLORA TRISTAN","Market","Flora Tristan 793-845, Cercado de Lima 15818, Peru",-12.1899311,-76.9224535,NA,NA,NA,NA,NA,0,28,48,60,68,64,60,52,52,56,56,56,0,0,0,0,0,0,NA,"Mo"
"35","Mercado La Aurora","Market","Avenida Emancipación 668 Jirón Cañete 473, Jirón Huancavelica 661, Cercado de Lima 15001, Peru",-12.0451873,-77.0390272,NA,NA,NA,NA,NA,0,10,26,47,59,58,57,58,54,42,39,49,54,39,0,0,0,0,NA,"Mo"
"36","Mercado La Inmaculada","Market","Av. Materiales 1973, Cercado de Lima 15081, Peru",-12.0410888,-77.0674417,NA,NA,NA,NA,0,4,10,19,29,38,39,35,26,18,15,16,18,17,14,0,0,0,NA,NA,"Mo"
"37","Mercado La Merced","Market","Jirón Pérez de Tudela, Cercado de Lima 15081, Peru",-12.0359805,-77.0663448,NA,NA,NA,NA,NA,0,22,40,48,43,28,16,12,10,6,5,10,0,0,0,0,0,0,NA,"Mo"
"38","Mercado La Ponderosa","Market","Av. Universitaria 524, Cercado de Lima 15086, Peru",-12.0850112,-77.0827117,NA,NA,NA,NA,NA,0,7,17,35,56,71,73,61,43,28,0,0,0,0,0,0,0,0,NA,"Mo"
"39","Mercado Los Incas","Market","Independencia 15332, Peru",-11.9802012,-77.0583666,NA,NA,NA,NA,NA,0,15,29,39,45,50,56,58,51,41,42,63,91,100,77,0,0,0,NA,"Mo"
"40","Mercado Los Vencedores","Market","de, Sta. Rosa de Lima 1813, San Juan de Lurigancho 15431, Peru",-11.9979722,-77.0003176,NA,NA,NA,NA,NA,0,8,21,32,35,33,29,22,16,12,10,9,7,5,0,0,0,0,NA,"Mo"
"41","Mercado Mayorista De Frutas","Market","Av Nicolás Arriola 4046, Cercado de Lima 15021, PeruLocated in: Wholesale Market Fruit No. 2",-12.0683307,-76.9975107,NA,NA,NA,0,13,22,29,34,36,35,34,31,28,22,17,11,7,0,0,0,0,NA,NA,NA,"Mo"
"42","Mercado Mayorista de platanos","Fruit wholesaler","Avenida San Juan 318 San Luis, Lima 15021, Peru",-12.0766797,-77.0084504,NA,NA,NA,NA,NA,0,35,45,51,58,71,88,100,98,85,71,58,46,0,0,0,0,0,NA,"Mo"
