nombre,categoryName,address,location.lat,location.lng,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,day
Market October 9,Market,"A Gomez, Cercado de Lima 15079, Peru",-12.0376207,-77.0604926,NA,NA,NA,NA,NA,0,0,27,36,45,54,59,59,50,40,27,13,0,0,0,0,0,0,NA,Mo
Market san gabriel,Market,"Azulejos 420, Distrito de Lima 15434, Peru",-11.9908396,-77.0029811,NA,NA,NA,NA,0,5,11,20,30,40,47,48,44,36,30,28,33,38,37,26,0,0,NA,NA,Mo
Market Santa Rosa,Market,"Jirón Amazonas, San Martín de Porres 15106, Peru",-12.0363012,-77.0886102,NA,NA,NA,NA,NA,0,2,5,27,51,63,59,44,32,27,26,26,0,0,0,0,0,0,NA,Mo
Market The Hermit,Market,"Lima District 15333, Peru",-11.9971997,-77.0528444,NA,NA,NA,NA,0,1,6,18,35,50,53,44,29,17,11,11,11,9,6,2,0,0,NA,NA,Mo
"Mercado ""La Merced""",Market,"Avenida Emancipación, Cercado de Lima 15001, Peru",-12.0455791,-77.0391687,NA,NA,NA,NA,0,2,10,23,41,52,51,46,42,40,37,30,29,46,62,41,0,0,NA,NA,Mo
Mercado Artesanal,Market,"Calle Gral. Suárez 315, Cercado de Lima 15074, Peru",-12.117468,-77.0279299,1,0,0,0,0,1,1,3,13,34,59,73,65,50,47,58,69,70,59,40,22,9,2,1,Mo
Mercado Artesanal San Borja,Market,"Av San Luis 1873, Lima 15021, Peru",-12.0855981,-76.9966405,NA,NA,NA,NA,NA,0,3,17,29,35,44,57,60,48,31,25,45,77,77,41,0,0,0,NA,Mo
Mercado Belen,Market,"Av Lima 2481, Cercado de Lima 15101, Peru",-12.0295233,-77.0718085,NA,NA,NA,NA,0,0,0,21,35,35,28,28,35,35,35,28,21,0,0,0,0,0,NA,NA,Mo
Mercado Bolivar Pueblo Libre,Market,"Jirón Mariano Pastor Sevilla 287-129, Cercado de Lima 15084, Peru",-12.0733048,-77.0656046,NA,NA,NA,NA,NA,0,7,18,30,39,49,60,57,41,29,25,23,16,0,0,0,0,0,NA,Mo
Mercado Buenos Aires,Market,"Prol. Lucanas 283, Cercado de Lima 15001, Peru",-12.0542514,-77.0195084,NA,NA,NA,NA,NA,0,20,35,38,37,42,47,38,21,7,1,1,1,0,0,0,0,0,NA,Mo
Mercado Canta Callao,Market,"Lima District 15109, Peru",-11.9835095,-77.0979738,NA,NA,NA,NA,0,0,2,2,34,63,47,21,26,31,10,2,2,0,0,0,0,0,NA,NA,Mo
Mercado Centro Cívico,Market,"Lima District 15101, Peru",-12.0282366,-77.0720097,NA,NA,NA,NA,0,1,1,6,16,27,33,31,24,14,5,1,1,0,0,0,0,0,NA,NA,Mo
Mercado Conde de la Vega,Market,"Jiron Acomayo, Av. Dos de Mayo 102, Cercado de Lima 15079, Peru",-12.03794,-77.0490996,NA,NA,NA,NA,NA,0,0,0,23,32,37,36,30,23,17,13,11,10,9,0,0,0,0,NA,Mo
Mercado Corpac,Market,"Av. Antunez de Mayolo, Distrito de Lima 15108, Peru",-12.0040721,-77.0942546,NA,NA,NA,NA,NA,0,0,0,45,75,86,68,44,35,40,40,27,0,0,0,0,0,0,NA,Mo
Mercado De Las Praderas,Market,"Yarquil 218, Cercado de Lima 15009, Peru",-12.0336931,-76.9626433,NA,NA,NA,NA,0,10,19,32,43,50,50,42,32,23,19,17,19,19,16,12,0,0,NA,NA,Mo
Mercado De Surquillo,Farmers' market,"Lizardo Montero 705, Surquillo 15047, PeruLocated in: Market No. 2 Surquillo",-12.1109983,-77.0241483,NA,NA,NA,NA,NA,0,0,0,32,55,71,71,59,44,34,27,0,0,0,0,0,0,0,NA,Mo
Mercado El Bosque,Market,"Av. Proceres de la Independencia 268, Cercado de Lima 15404, Peru",-12.0305244,-77.0128163,NA,NA,0,1,4,14,26,32,34,39,45,46,40,30,24,21,20,16,9,4,NA,NA,NA,NA,Mo
Mercado El Pino,Market,"Cnel. Lorenzo Iglesias Pino 104, Distrito de Lima 15054, Peru",-12.1622558,-76.9914288,NA,NA,NA,NA,NA,0,0,13,29,45,53,50,39,26,16,12,10,8,0,0,0,0,0,NA,Mo
Mercado Elio,Market,"Reynaldo Saavedra Pinón 2674, Cercado de Lima 15081, Peru",-12.054594700000001,-77.0711829,NA,NA,NA,NA,NA,0,0,0,20,26,30,33,36,40,43,43,43,40,0,0,0,0,0,NA,Mo
Mercado Familias Unidas,Market,"Ramon Rodriguez Lima, San Juan de Miraflores 15801, Peru",-12.1604042,-76.9650063,NA,NA,NA,NA,NA,0,0,22,45,61,61,47,31,21,16,14,11,0,0,0,0,0,0,NA,Mo
MERCADO FLORA TRISTAN,Market,"Flora Tristan 793-845, Cercado de Lima 15818, Peru",-12.1899311,-76.9224535,NA,NA,NA,NA,NA,0,28,48,60,68,64,60,52,52,56,56,56,0,0,0,0,0,0,NA,Mo
Mercado La Aurora,Market,"Avenida Emancipación 668 Jirón Cañete 473, Jirón Huancavelica 661, Cercado de Lima 15001, Peru",-12.0451873,-77.0390272,NA,NA,NA,NA,NA,0,10,26,47,59,58,57,58,54,42,39,49,54,39,0,0,0,0,NA,Mo
Mercado La Inmaculada,Market,"Av. Materiales 1973, Cercado de Lima 15081, Peru",-12.0410888,-77.0674417,NA,NA,NA,NA,0,4,10,19,29,38,39,35,26,18,15,16,18,17,14,0,0,0,NA,NA,Mo
Mercado La Merced,Market,"Jirón Pérez de Tudela, Cercado de Lima 15081, Peru",-12.0359805,-77.0663448,NA,NA,NA,NA,NA,0,22,40,48,43,28,16,12,10,6,5,10,0,0,0,0,0,0,NA,Mo
Mercado La Ponderosa,Market,"Av. Universitaria 524, Cercado de Lima 15086, Peru",-12.0850112,-77.0827117,NA,NA,NA,NA,NA,0,7,17,35,56,71,73,61,43,28,0,0,0,0,0,0,0,0,NA,Mo
Mercado Los Incas,Market,"Independencia 15332, Peru",-11.9802012,-77.0583666,NA,NA,NA,NA,NA,0,15,29,39,45,50,56,58,51,41,42,63,91,100,77,0,0,0,NA,Mo
Mercado Los Vencedores,Market,"de, Sta. Rosa de Lima 1813, San Juan de Lurigancho 15431, Peru",-11.9979722,-77.0003176,NA,NA,NA,NA,NA,0,8,21,32,35,33,29,22,16,12,10,9,7,5,0,0,0,0,NA,Mo
